age vel acl y n
22 50 98 0 1
21 49 160 0 1
40 50 134 1 1
43 50 142 1 1
23 51 118 0 1
58 51 143 1 1
29 51 77 0 1
29 51 184 0 1
47 51 100 1 1
39 51 188 1 1
22 50 162 0 1
52 51 151 1 1
28 50 181 1 1
42 50 158 1 1
59 51 168 1 1
28 41 128 0 1
23 61 268 1 1
38 41 76 0 1
50 61 185 1 1
28 41 58 0 1
40 61 190 1 1
32 50 94 0 1
53 47 131 0 1
44 50 120 1 1
38 51 107 1 1
36 50 97 0 1
33 53 138 1 1
51 41 68 1 1
60 42 78 1 1
30 45 95 0 1
27 46 96 1 1
25 44 106 0 1
53 44 86 1 1
64 45 65 1 1
54 45 103 0 1
41 45 102 1 1
36 45 108 1 1
27 45 140 0 1
45 45 94 1 1
49 40 77 0 1
24 40 101 0 1
65 40 82 1 1
63 51 169 1 1
26 40 82 0 1
60 45 83 1 1
47 45 103 1 1
59 44 104 1 1
26 44 139 0 1
31 45 128 1 1
47 46 138 1 1
41 45 102 0 1
25 44 90 0 1
50 44 88 1 1
53 50 128 1 1
62 50 136 1 1
23 50 108 0 1
27 60 176 1 1
19 60 191 0 1
